Product,ProductFeature,SentimentCategory,SentimentScore,CommonIssues
Product_C,Design,Neutral,0.69,Not sturdy
Product_C,Durability,Positive,0.37,Looks outdated
Product_E,Value for Money,Negative,0.62,Not worth the price
Product_A,Design,Positive,0.45,Limited features
Product_B,Functionality,Neutral,0.5,Not sturdy
Product_E,Ease of Use,Negative,0.37,Poor aesthetics
Product_C,Functionality,Positive,0.73,Uncomfortable
Product_B,Design,Negative,0.7,Better alternatives exist
Product_B,Design,Positive,0.45,Hard to understand
Product_D,Durability,Neutral,0.22,Doesn't work as expected
Product_C,Ease of Use,Negative,0.78,Not user-friendly
Product_C,Value for Money,Neutral,0.79,Not sturdy
Product_C,Durability,Positive,0.63,Too many steps
Product_C,Durability,Positive,0.45,Not user-friendly
Product_B,Ease of Use,Neutral,0.57,Not sturdy
Product_E,Durability,Positive,0.34,Wears out quickly
Product_E,Design,Positive,0.3,Not worth the price
Product_C,Functionality,Negative,0.52,Wears out quickly
Product_D,Ease of Use,Positive,0.36,Too many steps
Product_D,Ease of Use,Neutral,0.48,Not sturdy
Product_D,Value for Money,Positive,0.73,Not sturdy
Product_B,Design,Negative,0.41,Doesn't work as expected
Product_B,Functionality,Neutral,0.8,Better alternatives exist
Product_D,Functionality,Positive,0.47,Better alternatives exist
Product_B,Ease of Use,Negative,0.8,Better alternatives exist
Product_A,Durability,Positive,0.75,Looks outdated
Product_E,Functionality,Neutral,0.83,Not user-friendly
Product_B,Ease of Use,Positive,0.83,Difficult to operate
Product_C,Value for Money,Positive,0.7,Too many steps
Product_A,Functionality,Positive,0.23,Difficult to operate
Product_D,Design,Negative,0.43,Looks outdated
Product_E,Durability,Negative,0.59,Too expensive
Product_C,Ease of Use,Positive,0.59,Too many steps
Product_E,Durability,Positive,0.96,Not sturdy
Product_D,Functionality,Neutral,0.29,Doesn't work as expected
Product_A,Ease of Use,Positive,0.69,Wears out quickly
Product_B,Value for Money,Positive,0.52,Uncomfortable
Product_B,Durability,Negative,0.52,Doesn't work as expected
Product_B,Durability,Negative,0.34,Limited features
Product_B,Durability,Neutral,0.36,Too expensive
Product_D,Ease of Use,Positive,0.4,Not worth the price
Product_D,Durability,Negative,0.4,Too many steps
Product_E,Ease of Use,Negative,0.47,Too many steps
Product_B,Ease of Use,Neutral,0.32,Hard to understand
Product_D,Value for Money,Positive,0.62,Poor aesthetics
Product_B,Value for Money,Negative,0.47,Not user-friendly
Product_D,Functionality,Positive,0.44,Uncomfortable
Product_A,Functionality,Positive,0.39,Too many steps
Product_D,Durability,Neutral,0.3,Not worth the price
Product_D,Ease of Use,Neutral,0.44,Difficult to operate
Product_E,Ease of Use,Positive,0.19,Breaks easily
Product_E,Durability,Positive,0.13,Uncomfortable
Product_E,Design,Negative,0.2,Too expensive
Product_B,Value for Money,Negative,0.26,Uncomfortable
Product_E,Ease of Use,Neutral,0.42,Looks outdated
Product_E,Functionality,Positive,0.53,Breaks easily
Product_B,Design,Negative,0.97,Doesn't work as expected
Product_B,Ease of Use,Neutral,0.14,Not worth the price
Product_B,Value for Money,Positive,0.58,Not user-friendly
Product_D,Design,Neutral,0.62,Not worth the price
Product_E,Design,Positive,0.45,Not sturdy
Product_D,Design,Neutral,0.49,Poor aesthetics
Product_D,Functionality,Negative,0.32,Not worth the price
Product_C,Functionality,Neutral,0.81,Too expensive
Product_B,Design,Neutral,0.53,Not sturdy
Product_C,Value for Money,Neutral,0.23,Wears out quickly
Product_B,Functionality,Positive,0.48,Limited features
Product_D,Functionality,Neutral,0.66,Too expensive
Product_B,Functionality,Negative,0.37,Limited features
Product_A,Durability,Positive,0.41,Looks outdated
Product_C,Design,Positive,0.69,Looks outdated
Product_D,Value for Money,Positive,0.47,Looks outdated
Product_E,Value for Money,Positive,0.74,Uncomfortable
Product_E,Durability,Neutral,0.66,Not user-friendly
Product_E,Functionality,Positive,0.45,Uncomfortable
Product_E,Value for Money,Neutral,0.98,Uncomfortable
Product_B,Functionality,Negative,0.49,Looks outdated
Product_D,Functionality,Positive,0.52,Breaks easily
Product_B,Ease of Use,Negative,0.68,Better alternatives exist
Product_A,Value for Money,Neutral,0.52,Hard to understand
Product_A,Ease of Use,Negative,0.6,Breaks easily
Product_C,Durability,Positive,0.69,Too many steps
Product_B,Design,Positive,0.4,Poor aesthetics
Product_B,Design,Positive,0.45,Not sturdy
Product_B,Design,Neutral,0.66,Hard to understand
Product_D,Design,Neutral,0.49,Wears out quickly
Product_E,Value for Money,Neutral,0.47,Doesn't work as expected
Product_B,Ease of Use,Positive,0.28,Looks outdated
Product_A,Ease of Use,Negative,0.67,Hard to understand
Product_D,Ease of Use,Neutral,0.75,Hard to understand
Product_B,Ease of Use,Negative,0.32,Not sturdy
Product_C,Functionality,Positive,0.43,Wears out quickly
Product_E,Durability,Neutral,0.34,Too many steps
Product_E,Ease of Use,Negative,0.29,Better alternatives exist
Product_B,Value for Money,Neutral,0.5,Breaks easily
Product_D,Design,Neutral,0.68,Too many steps
Product_A,Value for Money,Negative,0.65,Breaks easily
Product_B,Durability,Neutral,0.26,Breaks easily
Product_D,Ease of Use,Neutral,0.7,Doesn't work as expected
Product_A,Durability,Neutral,0.57,Poor aesthetics
Product_A,Ease of Use,Negative,0.4,Not sturdy
Product_C,Design,Negative,0.27,Too many steps
Product_E,Design,Neutral,0.71,Not user-friendly
Product_A,Functionality,Neutral,0.4,Too many steps
Product_D,Durability,Positive,0.46,Too many steps
Product_E,Functionality,Neutral,0.08,Doesn't work as expected
Product_D,Functionality,Negative,0.3,Not worth the price
Product_D,Design,Positive,0.27,Not worth the price
Product_C,Ease of Use,Neutral,0.48,Breaks easily
Product_B,Functionality,Neutral,0.87,Too expensive
Product_C,Design,Negative,0.59,Wears out quickly
Product_D,Ease of Use,Positive,0.39,Too many steps
Product_B,Design,Negative,0.44,Not sturdy
Product_A,Functionality,Negative,0.09,Not user-friendly
Product_D,Ease of Use,Neutral,0.9,Breaks easily
Product_D,Functionality,Positive,0.22,Hard to understand
Product_D,Design,Negative,0.75,Difficult to operate
Product_A,Ease of Use,Positive,0.36,Too many steps
Product_A,Functionality,Negative,0.44,Not user-friendly
Product_D,Durability,Positive,0.58,Uncomfortable
Product_D,Design,Positive,0.3,Looks outdated
Product_A,Durability,Neutral,0.11,Difficult to operate
Product_B,Ease of Use,Negative,0.72,Not worth the price
Product_A,Functionality,Neutral,0.87,Poor aesthetics
Product_C,Design,Positive,1.12,Better alternatives exist
Product_A,Value for Money,Negative,0.41,Not sturdy
Product_C,Ease of Use,Positive,0.43,Wears out quickly
Product_C,Durability,Positive,0.22,Uncomfortable
Product_D,Ease of Use,Positive,0.54,Too many steps
Product_B,Ease of Use,Negative,0.46,Not sturdy
Product_B,Value for Money,Neutral,0.8,Better alternatives exist
Product_E,Ease of Use,Neutral,0.8,Too expensive
Product_A,Design,Neutral,0.57,Limited features
Product_B,Functionality,Positive,0.44,Hard to understand
Product_E,Durability,Positive,0.8,Too many steps
Product_D,Ease of Use,Negative,0.39,Too expensive
Product_C,Functionality,Neutral,0.28,Doesn't work as expected
Product_A,Functionality,Negative,0.78,Looks outdated
Product_B,Design,Negative,0.52,Uncomfortable
Product_C,Durability,Positive,0.62,Difficult to operate
Product_D,Ease of Use,Positive,0.55,Poor aesthetics
Product_A,Functionality,Positive,0.56,Hard to understand
Product_A,Functionality,Positive,0.62,Limited features
Product_D,Ease of Use,Neutral,0.64,Uncomfortable
Product_E,Design,Negative,0.42,Limited features
Product_A,Design,Neutral,0.76,Wears out quickly
Product_D,Design,Negative,0.34,Wears out quickly
Product_B,Ease of Use,Positive,0.48,Not sturdy
Product_A,Value for Money,Neutral,0.35,Too expensive
Product_B,Ease of Use,Negative,0.68,Uncomfortable
Product_B,Functionality,Neutral,0.57,Looks outdated
Product_A,Ease of Use,Neutral,0.2,Not sturdy
Product_C,Ease of Use,Negative,0.46,Better alternatives exist
Product_E,Value for Money,Negative,0.62,Too many steps
Product_A,Value for Money,Neutral,0.38,Uncomfortable
Product_E,Durability,Negative,0.52,Not user-friendly
Product_E,Ease of Use,Positive,0.57,Looks outdated
Product_B,Design,Positive,0.28,Looks outdated
Product_E,Durability,Neutral,0.5,Not user-friendly
Product_C,Ease of Use,Negative,0.58,Breaks easily
Product_D,Value for Money,Positive,0.84,Difficult to operate
Product_A,Ease of Use,Negative,0.82,Looks outdated
Product_B,Durability,Negative,0.73,Doesn't work as expected
Product_A,Design,Positive,0.58,Better alternatives exist
Product_D,Design,Neutral,0.52,Limited features
Product_A,Ease of Use,Negative,0.22,Looks outdated
Product_A,Durability,Neutral,0.41,Looks outdated
Product_B,Durability,Negative,0.36,Uncomfortable
Product_B,Design,Neutral,0.58,Not sturdy
Product_B,Functionality,Positive,0.8,Not worth the price
Product_B,Value for Money,Positive,0.53,Hard to understand
Product_B,Design,Negative,0.17,Poor aesthetics
Product_A,Functionality,Negative,0.56,Breaks easily
Product_B,Ease of Use,Neutral,0.52,Limited features
Product_D,Functionality,Negative,0.29,Looks outdated
Product_D,Ease of Use,Positive,0.44,Poor aesthetics
Product_A,Design,Negative,0.71,Limited features
Product_D,Value for Money,Neutral,0.47,Looks outdated
Product_D,Ease of Use,Negative,0.21,Doesn't work as expected
Product_B,Functionality,Neutral,0.48,Too many steps
Product_D,Functionality,Neutral,0.64,Hard to understand
Product_D,Functionality,Neutral,0.44,Looks outdated
Product_E,Ease of Use,Negative,0.7,Not sturdy
Product_B,Ease of Use,Neutral,0.61,Limited features
Product_C,Value for Money,Neutral,0.56,Too expensive
Product_A,Design,Neutral,0.69,Not worth the price
Product_A,Ease of Use,Positive,0.34,Wears out quickly
Product_C,Ease of Use,Negative,0.83,Poor aesthetics
Product_B,Durability,Positive,0.39,Not user-friendly
Product_E,Design,Negative,0.61,Limited features
Product_B,Functionality,Neutral,0.43,Difficult to operate
Product_C,Value for Money,Positive,0.54,Too many steps
Product_C,Durability,Positive,0.5,Not sturdy
Product_C,Value for Money,Neutral,0.47,Poor aesthetics
Product_D,Functionality,Negative,0.64,Limited features
Product_C,Durability,Neutral,0.37,Not sturdy
Product_E,Value for Money,Neutral,0.14,Better alternatives exist
Product_C,Value for Money,Positive,0.53,Looks outdated
Product_E,Durability,Positive,0.56,Uncomfortable
Product_C,Design,Neutral,0.4,Poor aesthetics
Product_E,Functionality,Neutral,0.47,Not worth the price
Product_B,Functionality,Neutral,0.31,Too many steps
Product_C,Ease of Use,Negative,0.55,Wears out quickly
Product_B,Functionality,Negative,0.43,Breaks easily
Product_B,Design,Positive,0.82,Not sturdy
Product_C,Functionality,Positive,0.43,Limited features
Product_B,Durability,Negative,0.39,Too expensive
Product_B,Durability,Negative,0.52,Doesn't work as expected
Product_B,Value for Money,Positive,0.78,Hard to understand
Product_E,Design,Positive,0.7,Not sturdy
Product_E,Durability,Neutral,0.52,Doesn't work as expected
Product_E,Ease of Use,Neutral,0.12,Not worth the price
Product_D,Design,Neutral,0.84,Not worth the price
Product_E,Value for Money,Negative,0.46,Breaks easily
Product_D,Durability,Neutral,0.48,Difficult to operate
Product_A,Value for Money,Positive,0.57,Too many steps
Product_A,Value for Money,Neutral,0.34,Better alternatives exist
Product_B,Design,Negative,0.68,Not sturdy
Product_B,Ease of Use,Negative,0.85,Doesn't work as expected
Product_E,Ease of Use,Neutral,0.56,Uncomfortable
Product_C,Functionality,Negative,0.38,Poor aesthetics
Product_D,Design,Neutral,0.31,Difficult to operate
Product_B,Durability,Neutral,0.52,Breaks easily
Product_E,Durability,Neutral,0.03,Not user-friendly
Product_B,Functionality,Negative,0.23,Not worth the price
Product_B,Value for Money,Negative,0.19,Hard to understand
Product_C,Value for Money,Positive,0.44,Poor aesthetics
Product_E,Design,Positive,0.34,Limited features
Product_C,Design,Positive,0.19,Breaks easily
Product_A,Durability,Negative,0.45,Doesn't work as expected
Product_A,Value for Money,Positive,0.43,Looks outdated
Product_C,Value for Money,Positive,0.44,Difficult to operate
Product_C,Functionality,Negative,0.66,Looks outdated
Product_E,Ease of Use,Positive,0.43,Difficult to operate
Product_E,Functionality,Positive,0.43,Wears out quickly
Product_A,Ease of Use,Neutral,0.19,Not sturdy
Product_A,Ease of Use,Positive,0.76,Wears out quickly
Product_C,Value for Money,Neutral,0.22,Doesn't work as expected
Product_E,Design,Negative,0.51,Hard to understand
Product_A,Durability,Positive,0.41,Difficult to operate
Product_D,Value for Money,Positive,0.13,Not user-friendly
Product_D,Durability,Negative,0.2,Too many steps
Product_E,Value for Money,Negative,0.49,Not worth the price
Product_A,Design,Negative,0.55,Wears out quickly
Product_A,Value for Money,Positive,0.36,Breaks easily
Product_D,Design,Neutral,0.6,Looks outdated
Product_D,Value for Money,Negative,0.54,Too expensive
Product_A,Design,Neutral,0.51,Limited features
Product_D,Functionality,Negative,0.34,Difficult to operate
Product_A,Durability,Neutral,0.63,Poor aesthetics
Product_A,Durability,Negative,0.23,Limited features
Product_A,Value for Money,Positive,0.17,Better alternatives exist
Product_A,Design,Positive,0.59,Wears out quickly
Product_D,Design,Negative,0.53,Limited features
Product_E,Design,Neutral,0.19,Not sturdy
Product_E,Ease of Use,Neutral,0.48,Hard to understand
Product_C,Durability,Neutral,0.51,Poor aesthetics
Product_B,Ease of Use,Positive,0.68,Difficult to operate
Product_D,Functionality,Negative,0.12,Looks outdated
Product_C,Ease of Use,Negative,0.71,Limited features
Product_B,Design,Negative,0.67,Too expensive
Product_C,Design,Neutral,0.61,Better alternatives exist
Product_E,Design,Negative,0.61,Not user-friendly
Product_E,Value for Money,Positive,0.57,Not sturdy
Product_C,Design,Neutral,0.59,Difficult to operate
Product_A,Design,Negative,0.74,Too many steps
Product_D,Durability,Positive,0.26,Not worth the price
Product_D,Ease of Use,Negative,0.21,Difficult to operate
Product_A,Value for Money,Positive,0.18,Uncomfortable
Product_E,Design,Positive,0.39,Uncomfortable
Product_B,Design,Neutral,0.29,Not worth the price
Product_A,Ease of Use,Positive,0.61,Not worth the price
Product_B,Durability,Negative,0.65,Too expensive
Product_A,Durability,Negative,0.06,Better alternatives exist
Product_E,Design,Negative,0.65,Not worth the price
Product_D,Design,Neutral,0.71,Too expensive
Product_A,Ease of Use,Negative,0.32,Better alternatives exist
Product_C,Ease of Use,Positive,0.43,Poor aesthetics
Product_E,Durability,Neutral,0.36,Limited features
Product_A,Functionality,Positive,0.57,Better alternatives exist
Product_E,Durability,Positive,0.21,Poor aesthetics
Product_B,Durability,Negative,0.51,Poor aesthetics
Product_D,Value for Money,Positive,0.2,Limited features
Product_B,Value for Money,Neutral,0.42,Breaks easily
Product_D,Durability,Negative,0.28,Poor aesthetics
Product_E,Design,Neutral,0.09,Not worth the price
Product_E,Ease of Use,Neutral,0.09,Too expensive
Product_B,Design,Positive,0.47,Wears out quickly
Product_E,Design,Positive,-0.02,Not user-friendly
Product_E,Functionality,Negative,0.33,Better alternatives exist
Product_B,Functionality,Negative,0.37,Uncomfortable
Product_A,Ease of Use,Positive,0.35,Better alternatives exist
Product_C,Value for Money,Neutral,0.53,Too many steps
Product_B,Functionality,Negative,0.24,Too many steps
Product_C,Ease of Use,Neutral,0.42,Not sturdy
Product_B,Ease of Use,Positive,0.55,Uncomfortable
Product_C,Ease of Use,Positive,0.13,Difficult to operate
Product_B,Functionality,Negative,0.5,Difficult to operate
Product_A,Functionality,Negative,0.54,Too many steps
Product_A,Durability,Negative,0.25,Limited features
Product_C,Value for Money,Negative,0.69,Better alternatives exist
Product_A,Functionality,Positive,0.41,Difficult to operate
Product_D,Design,Neutral,0.54,Looks outdated
Product_D,Ease of Use,Negative,0.35,Poor aesthetics
Product_C,Durability,Negative,0.69,Hard to understand
Product_C,Ease of Use,Neutral,0.79,Doesn't work as expected
Product_B,Durability,Negative,0.54,Uncomfortable
Product_D,Durability,Neutral,0.62,Too many steps
Product_A,Durability,Negative,0.29,Too many steps
Product_B,Durability,Neutral,0.88,Uncomfortable
Product_C,Ease of Use,Positive,0.57,Looks outdated
Product_E,Durability,Neutral,0.33,Hard to understand
Product_E,Durability,Negative,0.27,Better alternatives exist
Product_B,Durability,Positive,0.51,Poor aesthetics
Product_D,Durability,Neutral,0.87,Difficult to operate
Product_C,Ease of Use,Positive,0.23,Wears out quickly
Product_E,Functionality,Negative,0.37,Poor aesthetics
Product_B,Ease of Use,Positive,0.73,Limited features
Product_D,Design,Negative,0.48,Better alternatives exist
Product_E,Durability,Positive,0.74,Uncomfortable
Product_A,Design,Negative,0.95,Not worth the price
Product_E,Durability,Negative,0.46,Not worth the price
Product_A,Design,Negative,0.42,Not user-friendly
Product_D,Ease of Use,Neutral,0.55,Too many steps
Product_E,Durability,Neutral,0.44,Not sturdy
Product_D,Durability,Positive,0.42,Poor aesthetics
Product_C,Ease of Use,Neutral,0.77,Too many steps
Product_D,Ease of Use,Negative,0.14,Poor aesthetics
Product_A,Ease of Use,Positive,0.65,Too expensive
Product_A,Design,Positive,0.59,Limited features
Product_A,Design,Negative,0.51,Too many steps
Product_C,Design,Positive,0.36,Too many steps
Product_C,Design,Negative,0.29,Too many steps
Product_D,Ease of Use,Negative,0.69,Poor aesthetics
Product_B,Value for Money,Negative,0.53,Hard to understand
Product_A,Ease of Use,Positive,0.39,Poor aesthetics
Product_A,Durability,Neutral,0.26,Doesn't work as expected
Product_D,Functionality,Positive,0.64,Poor aesthetics
Product_E,Functionality,Negative,0.4,Uncomfortable
Product_A,Value for Money,Negative,0.28,Not worth the price
Product_E,Durability,Negative,0.65,Doesn't work as expected
Product_C,Design,Neutral,0.61,Too expensive
Product_B,Durability,Positive,0.32,Breaks easily
Product_E,Value for Money,Neutral,0.42,Not user-friendly
Product_B,Functionality,Negative,0.59,Too expensive
Product_B,Durability,Negative,0.57,Doesn't work as expected
Product_A,Design,Negative,0.3,Not sturdy
Product_C,Design,Neutral,0.19,Poor aesthetics
Product_D,Design,Positive,0.29,Uncomfortable
Product_C,Design,Neutral,0.76,Looks outdated
Product_C,Functionality,Negative,0.42,Better alternatives exist
Product_C,Value for Money,Negative,0.59,Too many steps
Product_D,Ease of Use,Neutral,0.74,Poor aesthetics
Product_C,Durability,Negative,0.25,Doesn't work as expected
Product_C,Value for Money,Positive,0.33,Too many steps
Product_C,Durability,Neutral,0.47,Not worth the price
Product_C,Ease of Use,Positive,0.62,Difficult to operate
Product_E,Design,Negative,0.44,Better alternatives exist
Product_E,Ease of Use,Positive,0.22,Wears out quickly
Product_A,Design,Negative,0.2,Limited features
Product_D,Functionality,Negative,0.57,Poor aesthetics
Product_E,Durability,Negative,0.4,Difficult to operate
Product_A,Design,Negative,0.28,Not user-friendly
Product_C,Functionality,Negative,0.58,Poor aesthetics
Product_E,Functionality,Positive,0.73,Breaks easily
Product_A,Ease of Use,Neutral,0.38,Difficult to operate
Product_E,Durability,Positive,0.63,Limited features
Product_B,Functionality,Positive,0.93,Not worth the price
Product_E,Ease of Use,Negative,0.47,Hard to understand
Product_E,Durability,Neutral,0.55,Hard to understand
Product_E,Ease of Use,Neutral,0.29,Not worth the price
Product_A,Value for Money,Negative,0.77,Uncomfortable
Product_C,Durability,Neutral,0.94,Difficult to operate
Product_B,Design,Positive,0.4,Better alternatives exist
Product_B,Ease of Use,Neutral,0.49,Uncomfortable
Product_D,Ease of Use,Negative,0.38,Hard to understand
Product_D,Durability,Neutral,0.15,Difficult to operate
Product_C,Ease of Use,Negative,0.04,Poor aesthetics
Product_E,Design,Neutral,0.22,Hard to understand
Product_C,Ease of Use,Neutral,0.49,Looks outdated
Product_B,Design,Negative,0.63,Not worth the price
Product_C,Durability,Neutral,0.55,Limited features
Product_A,Design,Positive,0.47,Too many steps
Product_D,Durability,Negative,0.84,Poor aesthetics
Product_D,Ease of Use,Positive,0.36,Too expensive
Product_B,Design,Negative,0.55,Too many steps
Product_B,Ease of Use,Positive,0.52,Too expensive
Product_C,Value for Money,Negative,0.61,Wears out quickly
Product_C,Ease of Use,Positive,0.84,Uncomfortable
Product_D,Design,Negative,0.18,Not user-friendly
Product_C,Ease of Use,Neutral,0.5,Breaks easily
Product_B,Functionality,Positive,0.52,Limited features
Product_C,Functionality,Negative,0.41,Uncomfortable
Product_C,Design,Positive,0.41,Too many steps
Product_C,Functionality,Negative,0.65,Not sturdy
Product_E,Ease of Use,Positive,0.26,Not worth the price
Product_D,Value for Money,Neutral,0.48,Looks outdated
Product_C,Design,Negative,0.67,Not sturdy
Product_B,Value for Money,Neutral,0.41,Uncomfortable
Product_A,Design,Positive,0.28,Too expensive
Product_E,Functionality,Positive,0.44,Uncomfortable
Product_E,Functionality,Negative,0.54,Breaks easily
Product_B,Design,Neutral,0.77,Wears out quickly
Product_A,Functionality,Neutral,0.5,Looks outdated
Product_C,Durability,Negative,0.4,Difficult to operate
Product_B,Design,Positive,0.24,Hard to understand
Product_D,Durability,Negative,0.3,Not user-friendly
Product_C,Functionality,Negative,0.64,Looks outdated
Product_B,Functionality,Positive,0.71,Breaks easily
Product_C,Ease of Use,Neutral,0.63,Too many steps
Product_D,Durability,Neutral,0.32,Not user-friendly
Product_B,Design,Positive,0.86,Better alternatives exist
Product_D,Durability,Positive,0.67,Doesn't work as expected
Product_C,Ease of Use,Negative,0.23,Too expensive
Product_C,Value for Money,Positive,0.45,Too expensive
Product_E,Durability,Negative,0.47,Poor aesthetics
Product_D,Value for Money,Neutral,0.54,Doesn't work as expected
Product_B,Value for Money,Positive,0.48,Looks outdated
Product_C,Durability,Positive,0.11,Looks outdated
Product_B,Durability,Positive,0.3,Breaks easily
Product_E,Durability,Negative,0.5,Hard to understand
Product_D,Functionality,Neutral,0.34,Hard to understand
Product_A,Durability,Positive,0.21,Hard to understand
Product_B,Durability,Neutral,0.56,Better alternatives exist
Product_C,Ease of Use,Negative,0.18,Looks outdated
Product_E,Design,Positive,0.23,Better alternatives exist
Product_D,Design,Neutral,0.51,Better alternatives exist
Product_C,Functionality,Positive,0.32,Looks outdated
Product_D,Design,Negative,0.51,Poor aesthetics
Product_D,Durability,Neutral,0.56,Poor aesthetics
Product_C,Design,Positive,0.52,Hard to understand
Product_D,Value for Money,Positive,0.52,Doesn't work as expected
Product_C,Design,Neutral,0.76,Poor aesthetics
Product_D,Design,Neutral,0.4,Not worth the price
Product_E,Ease of Use,Neutral,0.75,Too many steps
Product_C,Functionality,Neutral,0.34,Uncomfortable
Product_E,Ease of Use,Negative,0.37,Wears out quickly
Product_B,Functionality,Neutral,0.66,Uncomfortable
Product_D,Design,Positive,0.37,Uncomfortable
Product_D,Design,Positive,0.35,Limited features
Product_A,Functionality,Neutral,0.63,Difficult to operate
Product_E,Design,Neutral,0.28,Hard to understand
Product_D,Functionality,Negative,0.6,Limited features
Product_D,Ease of Use,Neutral,0.79,Limited features
Product_B,Ease of Use,Neutral,0.61,Hard to understand
Product_D,Design,Positive,0.58,Too many steps
Product_A,Durability,Negative,0.59,Not user-friendly
Product_E,Value for Money,Negative,0.42,Wears out quickly
Product_A,Functionality,Neutral,0.41,Too many steps
Product_B,Value for Money,Neutral,0.4,Too expensive
Product_A,Durability,Positive,0.38,Wears out quickly
Product_E,Durability,Positive,0.85,Not user-friendly
Product_A,Ease of Use,Neutral,0.56,Wears out quickly
Product_D,Design,Positive,0.82,Better alternatives exist
Product_D,Ease of Use,Neutral,0.7,Breaks easily
Product_C,Ease of Use,Neutral,0.41,Hard to understand
Product_A,Design,Positive,0.37,Better alternatives exist
Product_C,Value for Money,Neutral,0.66,Looks outdated
Product_C,Ease of Use,Neutral,0.34,Not worth the price
Product_A,Ease of Use,Positive,0.72,Breaks easily
Product_C,Ease of Use,Positive,0.42,Poor aesthetics
Product_E,Ease of Use,Neutral,0.69,Poor aesthetics
Product_E,Value for Money,Negative,0.8,Doesn't work as expected
Product_D,Design,Negative,0.66,Breaks easily
Product_D,Durability,Positive,0.35,Looks outdated
Product_D,Design,Positive,0.5,Looks outdated
Product_C,Value for Money,Negative,0.45,Not worth the price
Product_D,Durability,Positive,0.74,Doesn't work as expected
Product_D,Durability,Positive,0.7,Better alternatives exist
Product_C,Value for Money,Neutral,0.81,Hard to understand
Product_B,Functionality,Negative,0.4,Too expensive
Product_A,Value for Money,Positive,0.38,Not user-friendly
Product_C,Value for Money,Positive,0.4,Breaks easily
Product_D,Durability,Negative,0.45,Not user-friendly
Product_A,Durability,Negative,0.48,Difficult to operate
Product_A,Ease of Use,Neutral,0.57,Not user-friendly
Product_C,Durability,Negative,0.41,Hard to understand
Product_E,Ease of Use,Neutral,0.55,Not sturdy
Product_C,Value for Money,Positive,0.28,Breaks easily
Product_A,Value for Money,Neutral,0.29,Wears out quickly
Product_E,Value for Money,Negative,0.62,Poor aesthetics
Product_C,Durability,Neutral,0.32,Breaks easily
Product_A,Functionality,Positive,0.41,Looks outdated
Product_C,Durability,Neutral,0.22,Better alternatives exist
Product_E,Functionality,Neutral,0.35,Not sturdy
Product_A,Design,Negative,0.9,Limited features
Product_A,Ease of Use,Neutral,0.42,Wears out quickly
Product_E,Durability,Neutral,0.37,Not worth the price
Product_B,Durability,Negative,0.58,Poor aesthetics
Product_D,Design,Neutral,0.65,Too many steps
Product_D,Value for Money,Neutral,0.2,Not sturdy
Product_C,Functionality,Neutral,0.45,Wears out quickly
Product_E,Ease of Use,Positive,0.45,Not sturdy
Product_A,Value for Money,Positive,0.44,Uncomfortable
Product_A,Design,Positive,0.63,Not sturdy
Product_A,Ease of Use,Positive,0.46,Uncomfortable
Product_E,Ease of Use,Negative,0.89,Better alternatives exist
Product_A,Ease of Use,Negative,0.69,Looks outdated
Product_C,Durability,Neutral,0.74,Better alternatives exist
Product_A,Durability,Neutral,0.74,Not sturdy
Product_B,Design,Neutral,0.79,Not worth the price
Product_A,Ease of Use,Positive,0.61,Not user-friendly
Product_B,Durability,Positive,0.71,Difficult to operate
Product_E,Durability,Neutral,0.59,Hard to understand
Product_D,Durability,Neutral,0.67,Wears out quickly
Product_E,Ease of Use,Positive,0.52,Looks outdated
Product_B,Design,Positive,0.27,Looks outdated
Product_D,Design,Positive,0.42,Not sturdy
Product_C,Value for Money,Positive,0.8,Not sturdy
Product_D,Functionality,Neutral,0.55,Doesn't work as expected
Product_B,Functionality,Negative,0.59,Uncomfortable
Product_C,Functionality,Negative,0.58,Poor aesthetics
Product_A,Durability,Positive,0.21,Not worth the price
Product_B,Design,Positive,0.43,Poor aesthetics
Product_E,Ease of Use,Negative,0.75,Uncomfortable
Product_E,Value for Money,Neutral,0.24,Better alternatives exist
Product_C,Durability,Negative,0.6,Doesn't work as expected
Product_C,Durability,Neutral,0.28,Poor aesthetics
Product_B,Ease of Use,Neutral,0.4,Hard to understand
Product_C,Value for Money,Positive,0.41,Too expensive
Product_C,Design,Positive,0.32,Limited features
Product_B,Design,Neutral,0.67,Difficult to operate
Product_D,Ease of Use,Neutral,0.43,Difficult to operate
Product_A,Ease of Use,Positive,0.3,Limited features
Product_C,Design,Negative,0.74,Poor aesthetics
Product_A,Functionality,Positive,0.56,Too expensive
Product_B,Ease of Use,Neutral,0.49,Difficult to operate
Product_E,Ease of Use,Positive,0.27,Hard to understand
Product_B,Functionality,Negative,0.58,Doesn't work as expected
Product_D,Functionality,Negative,0.77,Uncomfortable
Product_E,Durability,Negative,0.44,Limited features
Product_E,Functionality,Positive,0.77,Breaks easily
Product_D,Value for Money,Negative,0.41,Breaks easily
Product_D,Value for Money,Positive,0.36,Poor aesthetics
Product_A,Design,Neutral,0.54,Hard to understand
Product_B,Durability,Neutral,0.39,Uncomfortable
Product_C,Durability,Neutral,0.88,Looks outdated
Product_A,Durability,Negative,0.75,Poor aesthetics
Product_E,Durability,Positive,0.3,Wears out quickly
Product_B,Durability,Neutral,0.48,Looks outdated
Product_A,Design,Negative,0.52,Better alternatives exist
Product_D,Design,Positive,0.37,Not user-friendly
